fecha,departamento,municipio,nombre_cultivo,periodo,area_sembrada,area_cosechada,produccion_ton,rendimiento_t_ha,ciclo
2019,Casanare,Nunchia,Citricos,2019,12.0,12.0,180.0,15.0,Permanente
2019,Casanare,Nunchia,Maiz tradicional,2019A,80.0,80.0,84.0,1.05,Transitorio
2019,Casanare,Nunchia,Maiz tradicional,2019B,161.0,161.0,242.0,1.5,Transitorio
2019,Casanare,Nunchia,Malanga,2019,10.0,10.0,120.0,12.0,Anual
2019,Casanare,Nunchia,Ñame,2019,6.0,6.0,18.0,3.0,Anual
2019,Casanare,Nunchia,Palma de aceite,2019,991.0,753.0,2.56,3.4,Permanente
2019,Casanare,Nunchia,Papaya,2019,38.0,30.0,540.0,18.0,Permanente
2019,Casanare,Nunchia,Piña,2019,1.0,1.0,60.0,60.0,Permanente
2019,Casanare,Nunchia,Platano,2019,430.0,170.0,2.04,12.0,Permanente
2019,Casanare,Nunchia,Yuca,2019,179.0,152.0,,18.0,Anual
2019,Casanare,Orocue,Arroz mecanizado,2019A,7029.0,7029.0,,5.6,Transitorio
2019,Casanare,Orocue,Arroz mecanizado,2019B,4.08,4.08,,5.83,Transitorio
2019,Casanare,Orocue,Cacao,2019,26.0,26.0,20.0,0.75,Permanente
2019,Casanare,Orocue,Caña panelera,2019,30.0,30.0,150.0,5.0,Permanente
2019,Casanare,Orocue,Caucho,2019,439.0,439.0,439.0,1.0,Permanente
2019,Casanare,Orocue,Palma de aceite,2019,13.85,13531.0,,3.67,Permanente
2019,Casanare,Orocue,Piña,2019,3.0,3.0,120.0,40.0,Permanente
2019,Casanare,Orocue,Platano,2019,100.0,100.0,1.3,13.0,Permanente
2019,Casanare,Orocue,Yuca,2019,350.0,350.0,3.5,10.0,Anual
2019,Casanare,Paz de ariporo,Arroz mecanizado,2019A,29523.0,29523.0,,5.6,Transitorio
2019,Casanare,Paz de ariporo,Cacao,2019,160.0,24.0,14.0,0.6,Permanente
2019,Casanare,Paz de ariporo,Caña miel,2019,10.0,4.0,16.0,4.0,Permanente
2019,Casanare,Paz de ariporo,Maracuya,2019,15.0,15.0,240.0,16.0,Permanente
2019,Casanare,Paz de ariporo,Papaya,2019,13.0,13.0,390.0,30.0,Permanente
2019,Casanare,Paz de ariporo,Piña,2019,4.0,4.0,140.0,35.0,Permanente
2019,Casanare,Paz de ariporo,Platano,2019,130.0,80.0,640.0,8.0,Permanente
2019,Casanare,Paz de ariporo,Yuca,2019,60.0,60.0,720.0,12.0,Anual
2019,Casanare,Pore,Arroz mecanizado,2019A,6381.0,6381.0,,5.6,Transitorio
2019,Casanare,Pore,Cacao,2019,162.0,82.0,41.0,0.5,Permanente
2019,Casanare,Pore,Maiz tecnificado,2019A,190.0,190.0,817.0,4.3,Transitorio
2019,Casanare,Pore,Maiz tecnificado,2019B,160.0,160.0,688.0,4.3,Transitorio
2019,Casanare,Pore,Maiz tradicional,2019A,100.0,100.0,170.0,1.7,Transitorio
2019,Casanare,Pore,Maiz tradicional,2019B,136.0,136.0,231.0,1.7,Transitorio
2019,Casanare,Pore,Maracuya,2019,3.0,2.0,18.0,9.0,Permanente
2019,Casanare,Pore,Papaya,2019,39.0,24.0,,48.98,Permanente
2019,Casanare,Pore,Piña,2019,8.0,4.0,190.0,47.55,Permanente
2019,Casanare,Pore,Platano,2019,205.0,205.0,3.28,16.0,Permanente
2019,Casanare,Pore,Yuca,2019,36.0,36.0,576.0,16.0,Anual
2019,Casanare,Recetor,Aguacate,2019,6.0,2.0,28.0,14.0,Permanente
2019,Casanare,Recetor,Arracacha,2019,5.0,5.0,20.0,4.0,Anual
2019,Casanare,Recetor,Cafe,2019,15.0,5.0,5.0,1.0,Permanente
2019,Casanare,Recetor,Caña panelera,2019,88.0,88.0,704.0,8.0,Permanente
2019,Casanare,Recetor,Lulo,2019,41.0,10.0,120.0,12.0,Permanente
2019,Casanare,Recetor,Maiz tradicional,2019A,46.0,46.0,83.0,1.8,Transitorio
2019,Casanare,Recetor,Malanga,2019,18.0,18.0,90.0,5.0,Anual
2019,Casanare,Recetor,Platano,2019,39.0,39.0,390.0,10.0,Permanente
2019,Casanare,Recetor,Yuca,2019,34.0,34.0,272.0,8.0,Anual
2019,Casanare,Sabanalarga,Aguacate,2019,27.0,27.0,324.0,12.0,Permanente
2019,Casanare,Sabanalarga,Cacao,2019,69.0,69.0,34.0,0.5,Permanente
2019,Casanare,Sabanalarga,Cafe,2019,4.0,4.0,5.0,1.5,Permanente
2019,Casanare,Sabanalarga,Caña panelera,2019,21.0,16.0,152.0,9.6,Permanente
2019,Casanare,Sabanalarga,Caucho,2019,241.0,241.0,169.0,0.7,Permanente
2019,Casanare,Sabanalarga,Citricos,2019,6.0,6.0,28.0,5.0,Permanente
2019,Casanare,Sabanalarga,Lulo,2019,7.0,5.0,68.0,15.0,Permanente
2019,Casanare,Sabanalarga,Maiz tradicional,2019A,33.0,33.0,42.0,1.26,Transitorio
2019,Casanare,Sabanalarga,Maiz tradicional,2019B,8.0,8.0,10.0,1.26,Transitorio
2019,Casanare,Sabanalarga,Malanga,2019,2.0,2.0,5.0,2.5,Anual
2019,Casanare,Sabanalarga,Mora,2019,2.0,2.0,23.0,10.0,Permanente
2019,Casanare,Sabanalarga,Ñame,2019,3.0,3.0,12.0,4.0,Anual
2019,Casanare,Sabanalarga,Piña,2019,39.0,34.0,792.0,23.3,Permanente
